epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.96583,1.63124,0.46667,1,1.58087,3.333e-05,3.333e-05,3.333e-05
2,11.8813,1.60988,0.4,1,1.53492,7.68076e-05,7.68076e-05,7.68076e-05
3,18.6807,1.5036,0.43333,1,1.44268,0.000119185,0.000119185,0.000119185
4,24.3107,1.39137,0.53333,1,1.31301,0.000160463,0.000160463,0.000160463
5,31.2844,1.29123,0.63333,1,1.15899,0.000200641,0.000200641,0.000200641
6,37.278,1.10329,0.73333,1,0.99703,0.000239719,0.000239719,0.000239719
7,42.339,0.99123,0.73333,1,0.8335,0.000277697,0.000277697,0.000277697
8,47.804,0.83003,0.76667,1,0.68388,0.000314575,0.000314575,0.000314575
9,53.3181,0.62846,0.76667,1,0.5418,0.000350354,0.000350354,0.000350354
10,58.7907,0.51338,0.86667,1,0.43341,0.000385032,0.000385032,0.000385032
11,66.5487,0.36893,0.86667,1,0.33741,0.000418611,0.000418611,0.000418611
12,72.328,0.2791,0.9,1,0.2732,0.00045109,0.00045109,0.00045109
13,77.4306,0.22894,0.93333,1,0.23975,0.000482468,0.000482468,0.000482468
14,83.0448,0.14025,0.93333,1,0.21223,0.000512747,0.000512747,0.000512747
15,88.9054,0.13251,0.93333,1,0.17212,0.000541926,0.000541926,0.000541926
16,94.4393,0.1387,0.9,1,0.1579,0.000570005,0.000570005,0.000570005
17,99.6785,0.12599,0.9,1,0.14064,0.000596985,0.000596985,0.000596985
18,104.963,0.10118,0.93333,1,0.12811,0.000622864,0.000622864,0.000622864
19,110.231,0.1026,0.93333,1,0.12469,0.000647644,0.000647644,0.000647644
20,115.746,0.08983,0.93333,1,0.12023,0.000671323,0.000671323,0.000671323
21,121.47,0.04658,0.93333,1,0.11638,0.000693903,0.000693903,0.000693903
22,127.224,0.10585,0.93333,1,0.11028,0.000715383,0.000715383,0.000715383
23,133.36,0.0806,0.96667,1,0.11285,0.000735763,0.000735763,0.000735763
24,139.696,0.08542,0.96667,1,0.10335,0.000755043,0.000755043,0.000755043
25,145.257,0.04005,0.96667,1,0.11423,0.000773223,0.000773223,0.000773223
26,150.878,0.07848,0.96667,1,0.08424,0.000767284,0.000767284,0.000767284
27,155.762,0.06417,0.93333,1,0.10612,0.000753536,0.000753536,0.000753536
28,160.765,0.09839,0.96667,1,0.08875,0.000739787,0.000739787,0.000739787
29,165.971,0.07879,1,1,0.04194,0.000726038,0.000726038,0.000726038
30,171.059,0.05796,1,1,0.03393,0.00071229,0.00071229,0.00071229
31,175.745,0.03629,1,1,0.0304,0.000698541,0.000698541,0.000698541
32,181.145,0.11804,1,1,0.0245,0.000684793,0.000684793,0.000684793
33,186.847,0.05025,0.96667,1,0.10401,0.000671044,0.000671044,0.000671044
34,192.698,0.05045,0.96667,1,0.17566,0.000657295,0.000657295,0.000657295
35,198.405,0.04548,0.96667,1,0.13666,0.000643547,0.000643547,0.000643547
36,204.589,0.07646,0.96667,1,0.09622,0.000629798,0.000629798,0.000629798
37,210.668,0.02601,0.96667,1,0.07145,0.000616049,0.000616049,0.000616049
38,215.971,0.0409,0.96667,1,0.05762,0.000602301,0.000602301,0.000602301
39,222.422,0.028,1,1,0.05839,0.000588552,0.000588552,0.000588552
40,227.721,0.04128,0.96667,1,0.06473,0.000574804,0.000574804,0.000574804
41,232.721,0.01994,0.96667,1,0.07161,0.000561055,0.000561055,0.000561055
42,237.639,0.04064,0.96667,1,0.08215,0.000547306,0.000547306,0.000547306
43,242.532,0.03144,0.93333,1,0.07988,0.000533558,0.000533558,0.000533558
44,247.241,0.05264,0.93333,1,0.07541,0.000519809,0.000519809,0.000519809
