epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.01715,1.65912,0.33333,1,1.577,3.333e-05,3.333e-05,3.333e-05
2,9.95244,1.5996,0.36667,1,1.52889,7.68076e-05,7.68076e-05,7.68076e-05
3,14.8834,1.49169,0.5,1,1.43049,0.000119185,0.000119185,0.000119185
4,20.3408,1.39994,0.56667,1,1.28894,0.000160463,0.000160463,0.000160463
5,26.3084,1.27182,0.7,1,1.12606,0.000200641,0.000200641,0.000200641
6,31.8749,1.1226,0.76667,1,0.95016,0.000239719,0.000239719,0.000239719
7,39.5136,1.0345,0.76667,1,0.78605,0.000277697,0.000277697,0.000277697
8,44.8906,0.78111,0.86667,1,0.63831,0.000314575,0.000314575,0.000314575
9,51.6096,0.71193,0.9,1,0.49559,0.000350354,0.000350354,0.000350354
10,57.9608,0.53108,0.93333,1,0.37002,0.000385032,0.000385032,0.000385032
11,64.3623,0.40599,0.93333,1,0.26826,0.000418611,0.000418611,0.000418611
12,70.0549,0.34137,0.96667,1,0.21992,0.00045109,0.00045109,0.00045109
13,75.0625,0.26413,0.96667,1,0.17044,0.000482468,0.000482468,0.000482468
14,80.2125,0.28225,0.93333,1,0.12692,0.000512747,0.000512747,0.000512747
15,85.0761,0.17378,0.96667,1,0.10142,0.000541926,0.000541926,0.000541926
16,89.9626,0.18764,0.96667,1,0.08042,0.000570005,0.000570005,0.000570005
17,95.0339,0.16825,0.96667,1,0.05975,0.000596985,0.000596985,0.000596985
18,100.283,0.10502,1,1,0.0449,0.000622864,0.000622864,0.000622864
19,105.43,0.12114,1,1,0.02672,0.000647644,0.000647644,0.000647644
20,111.45,0.08718,1,1,0.01887,0.000671323,0.000671323,0.000671323
21,117.023,0.06301,1,1,0.01526,0.000693903,0.000693903,0.000693903
22,123.119,0.07227,1,1,0.01298,0.000715383,0.000715383,0.000715383
23,130.599,0.09434,1,1,0.01057,0.000735763,0.000735763,0.000735763
24,136.046,0.0711,1,1,0.00773,0.000755043,0.000755043,0.000755043
25,141.922,0.03929,1,1,0.00775,0.000773223,0.000773223,0.000773223
26,147.708,0.08311,1,1,0.01275,0.000767284,0.000767284,0.000767284
27,156.307,0.11996,0.96667,1,0.0318,0.000753536,0.000753536,0.000753536
28,161.831,0.03439,0.96667,1,0.04853,0.000739787,0.000739787,0.000739787
29,166.963,0.05936,0.96667,1,0.03694,0.000726038,0.000726038,0.000726038
30,171.902,0.09768,0.96667,1,0.0254,0.00071229,0.00071229,0.00071229
31,176.807,0.05432,1,1,0.01471,0.000698541,0.000698541,0.000698541
32,181.848,0.04654,1,1,0.00894,0.000684793,0.000684793,0.000684793
33,186.725,0.03665,1,1,0.00721,0.000671044,0.000671044,0.000671044
