epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.27036,1.66882,0.3,1,1.56846,3.333e-05,3.333e-05,3.333e-05
2,12.6857,1.60187,0.33333,1,1.53653,7.68076e-05,7.68076e-05,7.68076e-05
3,19.6426,1.54268,0.36667,1,1.44751,0.000119185,0.000119185,0.000119185
4,27.0516,1.38142,0.63333,1,1.317,0.000160463,0.000160463,0.000160463
5,33.9724,1.26728,0.63333,1,1.16643,0.000200641,0.000200641,0.000200641
6,42.4104,1.13763,0.76667,1,1.01202,0.000239719,0.000239719,0.000239719
7,48.9361,0.97315,0.83333,1,0.84389,0.000277697,0.000277697,0.000277697
8,55.3896,0.82951,0.86667,1,0.67985,0.000314575,0.000314575,0.000314575
9,62.5106,0.67591,0.86667,1,0.511,0.000350354,0.000350354,0.000350354
10,69.0483,0.50928,0.9,1,0.3712,0.000385032,0.000385032,0.000385032
11,75.6739,0.43926,0.93333,1,0.25142,0.000418611,0.000418611,0.000418611
12,81.6169,0.31178,0.96667,1,0.15915,0.00045109,0.00045109,0.00045109
13,88.5235,0.2371,0.96667,1,0.12369,0.000482468,0.000482468,0.000482468
14,94.0563,0.23268,0.96667,1,0.10398,0.000512747,0.000512747,0.000512747
15,100.334,0.19399,0.96667,1,0.0829,0.000541926,0.000541926,0.000541926
16,105.247,0.15887,0.96667,1,0.06913,0.000570005,0.000570005,0.000570005
17,110.131,0.13971,1,1,0.05031,0.000596985,0.000596985,0.000596985
18,115.097,0.12685,1,1,0.03864,0.000622864,0.000622864,0.000622864
19,119.945,0.12094,1,1,0.03223,0.000647644,0.000647644,0.000647644
20,124.927,0.10057,1,1,0.02677,0.000671323,0.000671323,0.000671323
21,130.007,0.08504,1,1,0.02574,0.000693903,0.000693903,0.000693903
22,134.716,0.08276,1,1,0.01746,0.000715383,0.000715383,0.000715383
23,139.493,0.06513,1,1,0.01224,0.000735763,0.000735763,0.000735763
24,144.429,0.03663,1,1,0.01133,0.000755043,0.000755043,0.000755043
25,149.859,0.06791,1,1,0.00933,0.000773223,0.000773223,0.000773223
26,155.731,0.05317,1,1,0.00918,0.000767284,0.000767284,0.000767284
27,163.003,0.07338,1,1,0.01221,0.000753536,0.000753536,0.000753536
28,169.613,0.12215,1,1,0.01281,0.000739787,0.000739787,0.000739787
29,176.104,0.12824,1,1,0.01002,0.000726038,0.000726038,0.000726038
30,182.177,0.0546,1,1,0.00774,0.00071229,0.00071229,0.00071229
31,187.543,0.0397,1,1,0.00566,0.000698541,0.000698541,0.000698541
32,192.334,0.05312,1,1,0.00506,0.000684793,0.000684793,0.000684793
