repeat,seed,train_time,test_time,avg_prediction_time,test_images,correct,incorrect,accuracy
1,43,251.70329519999905,0.6025124000007054,0.028691066666700255,21,21,0,100.0
2,44,144.661467599999,0.9595326000016939,0.04569202857150924,21,21,0,100.0
3,45,196.27257050000117,0.7913700999997673,0.0376842904761794,21,21,0,100.0
4,46,190.45803410000008,0.6164413000005879,0.029354347619075617,21,21,0,100.0
5,47,155.32823980000103,0.5322910000031698,0.025347190476341416,21,21,0,100.0
