epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.81793,1.64885,0.26667,1,1.56817,3.333e-05,3.333e-05,3.333e-05
2,9.80343,1.59549,0.43333,1,1.51513,7.68076e-05,7.68076e-05,7.68076e-05
3,14.8815,1.51391,0.5,1,1.42845,0.000119185,0.000119185,0.000119185
4,20.1968,1.39045,0.66667,1,1.29158,0.000160463,0.000160463,0.000160463
5,26.0461,1.27255,0.73333,1,1.12294,0.000200641,0.000200641,0.000200641
6,31.1829,1.10888,0.9,1,0.93399,0.000239719,0.000239719,0.000239719
7,36.9641,0.97087,0.9,1,0.75042,0.000277697,0.000277697,0.000277697
8,43.4052,0.80578,0.96667,1,0.5833,0.000314575,0.000314575,0.000314575
9,49.7326,0.66368,0.96667,1,0.42258,0.000350354,0.000350354,0.000350354
10,55.0387,0.51636,1,1,0.29842,0.000385032,0.000385032,0.000385032
11,60.371,0.42253,0.96667,1,0.20244,0.000418611,0.000418611,0.000418611
12,65.6909,0.27977,0.96667,1,0.14493,0.00045109,0.00045109,0.00045109
13,70.8216,0.26988,0.96667,1,0.11211,0.000482468,0.000482468,0.000482468
14,76.2061,0.20064,1,1,0.08111,0.000512747,0.000512747,0.000512747
15,81.9497,0.26261,1,1,0.05314,0.000541926,0.000541926,0.000541926
16,87.6554,0.10527,1,1,0.03522,0.000570005,0.000570005,0.000570005
17,93.766,0.12778,1,1,0.0246,0.000596985,0.000596985,0.000596985
18,98.7813,0.12952,1,1,0.01845,0.000622864,0.000622864,0.000622864
19,103.896,0.07799,1,1,0.01289,0.000647644,0.000647644,0.000647644
20,109.29,0.07736,1,1,0.01207,0.000671323,0.000671323,0.000671323
21,114.438,0.05143,1,1,0.01456,0.000693903,0.000693903,0.000693903
22,119.206,0.05603,1,1,0.01748,0.000715383,0.000715383,0.000715383
23,126.529,0.07047,1,1,0.01835,0.000735763,0.000735763,0.000735763
24,133.447,0.04607,1,1,0.02013,0.000755043,0.000755043,0.000755043
25,139.213,0.03033,1,1,0.02071,0.000773223,0.000773223,0.000773223
